Label,Text
1,And welcome merry Shrovetide
1, would he knew that  had saved his brother
1,Or any he the proudest of thy sort
0,Hadst thou the same free will and power to stand
0,For he confounds hell in Elysium
1,When that your flock assembled by the bell
1,Moreover urge his hateful luxury
0,He looked and saw wide territory spread
1,She on his left side craving aid for Henry
1,Shall tithe or toll in our dominions
1,To bid his young son welcome to his grave
0,At once as far as angels ken he views
0,So call that opposite fair star her aid
1,And if we did but glance a faroff look
1,To me for justice and rough chastisement
1,that thou wouldst think  had sold my farm to buy my
0,to have his horse and he would have his things rubbed and made
1,Look who comes here a grave unto a soul
1,is worth a thousand of these bedhangings and these
1,Loath to depose the child Your brothers son
1,Villain thy father was a plasterer
0,To prune these growing plants and tend these flowers
1,Become thy great birth nor deserve a crown
1,And he that throws not up his cap for joy
1,Doth this news hold of good King Edwards death
0, Whats that Hieronimo
1,How will my wife for slaughter of my son
1,Aaron a thousand deaths
0,Instead of Troy shall Wertenberg be sackd
1,Thy likeness for instead of thee King Harry
0,His beams unactive else their vigor find
0,A dewy cloud and in the cloud a bow
1,Not so my lord the gods of Rome forfend
1,are come to search the house Shall  let them in
0,And every creeping thing that creeps the ground
1,filth as thou art Thou hast most traitorously
0,The confines met of empyrean Heaven
0,Those notes to tragic foul distrust and breach
0,In Paris mongst the French tragedians
1,Dying like men though buried in your dunghills
1,Must take up us so is the unfirm king
1,Now in his life against your holy oath
1,lest he knock that about yours
1,As frowning at the favours of the world
0,Satan with thoughts inflamed of highest design
1,When blackfaced Clifford shook his sword at him
1,But even this night whose black contagious breath
1,The appellant in all duty greets your highness
1,While we devise fell tortures for thy faults
0,From large bestowed where Nature multiplies
1,Both tugging to be victors breast to breast
1,Say on my Lord of Westmoreland in peace
1,To do myself this reason and this right
1,You love the breeder better than the male
1,Enter  and  
0,Now not though sin not time first wrought the change
1,Heir to the crown meaning indeed his house
1, rascal bragging slave the rogue fled from me
1,Late did he shine upon the English side
0,Catched by contagion like in punishment
1,The lady speaks again in Welsh
